loteId,notificacionId,resultado,fechaResultado,observacion
LOTE-CORREO-20260526-203244-001,NOT-0004-01,POSITIVA,2026-05-26T20:32:44.5311852,Respuesta demo POSITIVA para ACTA_INFRACCION
LOTE-CORREO-20260526-203244-001,NOT-0030-03,NEGATIVA,2026-05-26T20:33:44.5311852,Respuesta demo NEGATIVA para FALLO_CONDENATORIO
LOTE-CORREO-20260526-203244-001,NOT-0037-01,VENCIDA,2026-05-26T20:34:44.5311852,Respuesta demo VENCIDA para FALLO_CONDENATORIO
LOTE-CORREO-20260526-203244-001,NOT-0038-01,POSITIVA,2026-05-26T20:35:44.5311852,Respuesta demo POSITIVA para ACTA_INFRACCION
LOTE-CORREO-20260526-203244-001,NOT-0039-01,NEGATIVA,2026-05-26T20:36:44.5311852,Respuesta demo NEGATIVA para FALLO_CONDENATORIO
LOTE-CORREO-20260526-203244-001,NOT-0040-01,VENCIDA,2026-05-26T20:37:44.5311852,Respuesta demo VENCIDA para FALLO_ABSOLUTORIO
LOTE-CORREO-20260526-203244-001,NOT-0041-01,POSITIVA,2026-05-26T20:38:44.5311852,Respuesta demo POSITIVA para ACTA_INFRACCION
LOTE-CORREO-20260526-203244-001,NOT-0068-01,NEGATIVA,2026-05-26T20:39:44.5311852,Respuesta demo NEGATIVA para ACTA_INFRACCION
LOTE-CORREO-20260526-203244-001,NOT-0069-01,VENCIDA,2026-05-26T20:40:44.5311852,Respuesta demo VENCIDA para ACTA_INFRACCION
LOTE-CORREO-20260526-203244-001,NOT-0070-01,POSITIVA,2026-05-26T20:41:44.5311852,Respuesta demo POSITIVA para FALLO_ABSOLUTORIO
LOTE-CORREO-20260526-203244-001,NOT-0071-01,NEGATIVA,2026-05-26T20:42:44.5311852,Respuesta demo NEGATIVA para ACTA_INFRACCION
