loteId,notificacionId,resultado,fechaResultado,observacion
LOTE-CORREO-20260526-171309-001,NOT-0004-01,POSITIVA,2026-05-26T17:13:09.5581727,Respuesta demo POSITIVA para ACTA_INFRACCION
LOTE-CORREO-20260526-171309-001,NOT-0030-03,NEGATIVA,2026-05-26T17:14:09.5581727,Respuesta demo NEGATIVA para FALLO_CONDENATORIO
LOTE-CORREO-20260526-171309-001,NOT-0037-01,VENCIDA,2026-05-26T17:15:09.5581727,Respuesta demo VENCIDA para FALLO_CONDENATORIO
LOTE-CORREO-20260526-171309-001,NOT-0038-01,POSITIVA,2026-05-26T17:16:09.5581727,Respuesta demo POSITIVA para ACTA_INFRACCION
LOTE-CORREO-20260526-171309-001,NOT-0039-01,NEGATIVA,2026-05-26T17:17:09.5581727,Respuesta demo NEGATIVA para FALLO_CONDENATORIO
LOTE-CORREO-20260526-171309-001,NOT-0040-01,VENCIDA,2026-05-26T17:18:09.5581727,Respuesta demo VENCIDA para FALLO_ABSOLUTORIO
LOTE-CORREO-20260526-171309-001,NOT-0041-01,POSITIVA,2026-05-26T17:19:09.5581727,Respuesta demo POSITIVA para ACTA_INFRACCION
LOTE-CORREO-20260526-171309-001,NOT-0068-01,NEGATIVA,2026-05-26T17:20:09.5581727,Respuesta demo NEGATIVA para ACTA_INFRACCION
LOTE-CORREO-20260526-171309-001,NOT-0069-01,VENCIDA,2026-05-26T17:21:09.5581727,Respuesta demo VENCIDA para ACTA_INFRACCION
LOTE-CORREO-20260526-171309-001,NOT-0070-01,POSITIVA,2026-05-26T17:22:09.5581727,Respuesta demo POSITIVA para FALLO_ABSOLUTORIO
LOTE-CORREO-20260526-171309-001,NOT-0071-01,NEGATIVA,2026-05-26T17:23:09.5581727,Respuesta demo NEGATIVA para ACTA_INFRACCION
